project_accession	file_name	category	file_size_bytes	ftp_url	local_relative_path	license_status	redistribution_status	download_status
PXD044929	PK108_Wv_SEARCH.zip	SEARCH	2533670	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD044929/PK108_Wv_SEARCH.zip	raw/proteomics/PRIDE/PXD044929/PK108_Wv_SEARCH.zip	license_unverified	blocked_until_reviewed	pending
PXD081190	psm_orientalis-stearothermophilus.tsv	SEARCH	2610191	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/07/PXD081190/psm_orientalis-stearothermophilus.tsv	raw/proteomics/PRIDE/PXD081190/psm_orientalis-stearothermophilus.tsv	license_unverified	blocked_until_reviewed	pending
PXD018935	Ribosome_1A.mzid	SEARCH	2611181	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD018935/Ribosome_1A.mzid	raw/proteomics/PRIDE/PXD018935/Ribosome_1A.mzid	license_unverified	blocked_until_reviewed	pending
PXD004924	GPM28700000061.xml	SEARCH	2628266	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004924/GPM28700000061.xml	raw/proteomics/PRIDE/PXD004924/GPM28700000061.xml	license_unverified	blocked_until_reviewed	pending
PXD011038	saureus.pep.xml	SEARCH	2635229	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD011038/saureus.pep.xml	raw/proteomics/PRIDE/PXD011038/saureus.pep.xml	license_unverified	blocked_until_reviewed	pending
PXD055620	ARID2-eGFP_Results.mzid	RESULT	2682974	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD055620/ARID2-eGFP_Results.mzid	raw/proteomics/PRIDE/PXD055620/ARID2-eGFP_Results.mzid	license_unverified	blocked_until_reviewed	pending
PXD048766	AllQuantifiedProteinGroups-rename.tsv	SEARCH	2768079	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/12/PXD048766/AllQuantifiedProteinGroups-rename.tsv	raw/proteomics/PRIDE/PXD048766/AllQuantifiedProteinGroups-rename.tsv	license_unverified	blocked_until_reviewed	pending
PXD003098	Table_S4.xml	SEARCH	2789193	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003098/Table_S4.xml	raw/proteomics/PRIDE/PXD003098/Table_S4.xml	license_unverified	blocked_until_reviewed	pending
PXD054784	AllQuantifiedProteinGroups.tsv	SEARCH	2822199	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/12/PXD054784/AllQuantifiedProteinGroups.tsv	raw/proteomics/PRIDE/PXD054784/AllQuantifiedProteinGroups.tsv	license_unverified	blocked_until_reviewed	pending
PXD066556	230125_BLRL_AcrB_MBX_0sec_01_IA_final_peptide.csv	SEARCH	2834588	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/07/PXD066556/230125_BLRL_AcrB_MBX_0sec_01_IA_final_peptide.csv	raw/proteomics/PRIDE/PXD066556/230125_BLRL_AcrB_MBX_0sec_01_IA_final_peptide.csv	license_unverified	blocked_until_reviewed	pending
PXD065007	Protein_ID_and_abundances.xlsx	SEARCH	2868254	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PXD065007/Protein_ID_and_abundances.xlsx	raw/proteomics/PRIDE/PXD065007/Protein_ID_and_abundances.xlsx	license_unverified	blocked_until_reviewed	pending
PXD011386	OEI20793txt.zip	SEARCH	2889023	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011386/OEI20793txt.zip	raw/proteomics/PRIDE/PXD011386/OEI20793txt.zip	license_unverified	blocked_until_reviewed	pending
PXD019288	proteinGroups.txt	SEARCH	2986967	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/proteinGroups.txt	raw/proteomics/PRIDE/PXD019288/proteinGroups.txt	license_unverified	blocked_until_reviewed	pending
PXD043119	EcoliOMV_03_interact.prot.xml	SEARCH	2993334	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043119/EcoliOMV_03_interact.prot.xml	raw/proteomics/PRIDE/PXD043119/EcoliOMV_03_interact.prot.xml	license_unverified	blocked_until_reviewed	pending
PXD018039	Quantitativeproteins_SWATH-MS_technicalreplicates.xlsx	SEARCH	2994603	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD018039/Quantitativeproteins_SWATH-MS_technicalreplicates.xlsx	raw/proteomics/PRIDE/PXD018039/Quantitativeproteins_SWATH-MS_technicalreplicates.xlsx	license_unverified	blocked_until_reviewed	pending
PXD008093	OSU_Kieft_5_FASP_Elite.tab.pep.txt	SEARCH	3020250	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008093/OSU_Kieft_5_FASP_Elite.tab.pep.txt	raw/proteomics/PRIDE/PXD008093/OSU_Kieft_5_FASP_Elite.tab.pep.txt	license_unverified	blocked_until_reviewed	pending
PXD005721	MURI_34_1a_01222014.mzML.MSGF.tsv	SEARCH	3094531	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD005721/MURI_34_1a_01222014.mzML.MSGF.tsv	raw/proteomics/PRIDE/PXD005721/MURI_34_1a_01222014.mzML.MSGF.tsv	license_unverified	blocked_until_reviewed	pending
PXD059455	Combined_protein_IDs.xlsx	SEARCH	3100300	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PXD059455/Combined_protein_IDs.xlsx	raw/proteomics/PRIDE/PXD059455/Combined_protein_IDs.xlsx	license_unverified	blocked_until_reviewed	pending
PXD005924	QE_160608_17.mzXML.small_db.evalue_100000.0.all.xml	SEARCH	3119346	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD005924/QE_160608_17.mzXML.small_db.evalue_100000.0.all.xml	raw/proteomics/PRIDE/PXD005924/QE_160608_17.mzXML.small_db.evalue_100000.0.all.xml	license_unverified	blocked_until_reviewed	pending
PXD055060	proteinGroups_bRNC.txt	SEARCH	3131864	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD055060/proteinGroups_bRNC.txt	raw/proteomics/PRIDE/PXD055060/proteinGroups_bRNC.txt	license_unverified	blocked_until_reviewed	pending
